"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","205"
"Christianity","6"
"Hindu","8345"
"Islam","13"
"Jainism","0"
"Kirat","1"
"Prakriti","0"
"Sikhism","0"
"Undefined","1"
"Total","8571"
