"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","9"
"Cow Dung","9"
"Electricity Fuel","0"
"KeroseneFuel","3"
"LP Gas","0"
"Not Sated about Fuel","27"
"OthersFuel","1"
"Wood/FireWood","3684"
"Total","3733"
