"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","31"
"Cow Dung","69"
"Electricity","11"
"Kerosene","44"
"LP Gas","954"
"Not stated","180"
"Others","40"
"Wood/Firewood","42406"
"Total","43735"
