"Number of households by type of outer wall","Number"
"BambooWall","611"
"Cement Bonded Bricks/Stone Wall","1165"
"Mud Bonded Bricks/Stone Wall","41423"
"Not stated","272"
"Others","17"
"Unbaked Bricks","1"
"Wood/Planks","246"
"Total","43735"
