"Population by Five Years Age Group","Number"
"0-4",""
"Female","14019"
"Male","14518"
"10-14",""
"Female","16599"
"Male","16341"
"15-19",""
"Female","13536"
"Male","10668"
"20-24",""
"Female","11467"
"Male","6890"
"25-29",""
"Female","8903"
"Male","5788"
"30-34",""
"Female","7242"
"Male","4497"
"35-39",""
"Female","6595"
"Male","4352"
"40-44",""
"Female","5875"
"Male","4364"
"45-49",""
"Female","4760"
"Male","3969"
"50-54",""
"Female","4260"
"Male","4041"
"55-59",""
"Female","3410"
"Male","3352"
"5-9",""
"Female","15988"
"Male","16008"
"60-64",""
"Female","3397"
"Male","3146"
"65-69",""
"Female","2249"
"Male","2244"
"70-74",""
"Female","1620"
"Male","1493"
"75+",""
"Female","1486"
"Male","1429"
