"Agricultural land use area","Hectare"
"Area under arable land","20032.15"
"Area under meadows and pasture","319.55"
"Area under permanent crops","2730.35"
"Area under Temporary crops","19396.73"
"Area under temporary fallow","446.78"
"Area under temporary meadows","188.63"
"Other land","1237.75"
"Ponds","0.00"
"Woodland and forest","533.46"
