"Agricultural land use area","Hectare"
"Area under arable land","18977.74"
"Area under meadows and pasture","592.88"
"Area under permanent crops","702.38"
"Area under Temporary crops","18780.07"
"Area under temporary fallow","123.48"
"Area under temporary meadows","74.19"
"Other land","994.23"
"Ponds","0.00"
"Woodland and forest","62.10"
