"Population by Caste Ethinicity","Number"
"Badi",""
"Female","137"
"Male","109"
"","246"
"Brahman - Hill",""
"Female","421"
"Male","405"
"","826"
"Chhetri",""
"Female","5692"
"Male","5110"
"","10802"
"Dalit Others",""
"Female","51"
"Male","58"
"","109"
"Damai/Dholi",""
"Female","407"
"Male","374"
"","781"
"Gharti/Bhujel",""
"Female","1"
"Male","10"
"","11"
"Kami",""
"Female","1412"
"Male","1217"
"","2629"
"Lohar",""
"Female","13"
"Male","12"
"","25"
"Magar",""
"Female","353"
"Male","358"
"","711"
"Others",""
"Female","16"
"Male","20"
"","36"
"Sanyasi/Dasnami",""
"Female","26"
"Male","20"
"","46"
"Sarki",""
"Female","119"
"Male","117"
"","236"
"Terai Others",""
"Female","15"
"Male","7"
"","22"
"Thakuri",""
"Female","759"
"Male","663"
"","1422"
