"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","3"
"Cow Dung","1"
"Electricity Fuel","0"
"KeroseneFuel","6"
"LP Gas","0"
"Not Sated about Fuel","13"
"OthersFuel","1"
"Wood/FireWood","3106"
"Total","3130"
