"Population by Caste Ethinicity","Number"
"Badi",""
"Female","98"
"Male","58"
"","156"
"Brahman - Hill",""
"Female","562"
"Male","498"
"","1060"
"Chhetri",""
"Female","3504"
"Male","2825"
"","6329"
"Damai/Dholi",""
"Female","355"
"Male","294"
"","649"
"Kami",""
"Female","544"
"Male","464"
"","1008"
"Kumal",""
"Female","20"
"Male","23"
"","43"
"Magar",""
"Female","463"
"Male","437"
"","900"
"Newar",""
"Female","20"
"Male","19"
"","39"
"Others",""
"Female","27"
"Male","19"
"","46"
"Sanyasi/Dasnami",""
"Female","466"
"Male","379"
"","845"
"Sarki",""
"Female","236"
"Male","172"
"","408"
"Tamang",""
"Female","12"
"Male","9"
"","21"
"Thakuri",""
"Female","97"
"Male","76"
"","173"
"Tharu",""
"Female","5097"
"Male","4710"
"","9807"
