"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","52"
"Cow Dung","128"
"Electricity Fuel","1"
"KeroseneFuel","21"
"LP Gas","48"
"Not Sated about Fuel","16"
"OthersFuel","0"
"Wood/FireWood","4189"
"Total","4455"
