"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","33"
"Male","20"
"Bantaba",""
"Female","24"
"Male","14"
"Brahman - Hill",""
"Female","543"
"Male","471"
"Chhetri",""
"Female","2508"
"Male","2091"
"Damai/Dholi",""
"Female","248"
"Male","183"
"Gharti/Bhujel",""
"Female","191"
"Male","167"
"Gurung",""
"Female","241"
"Male","217"
"Kami",""
"Female","298"
"Male","223"
"Limbu",""
"Female","3226"
"Male","2694"
"Magar",""
"Female","1135"
"Male","995"
"Newar",""
"Female","381"
"Male","317"
"Others",""
"Female","24"
"Male","67"
"Rai",""
"Female","166"
"Male","124"
"Sanyasi/Dasnami",""
"Female","70"
"Male","67"
"Sarki",""
"Female","73"
"Male","68"
"Sherpa",""
"Female","268"
"Male","217"
"Sunuwar",""
"Female","24"
"Male","21"
"Tamang",""
"Female","501"
"Male","373"
"Undefined Others",""
"Female","8"
"Male","9"
"Yadav",""
"Female","6"
"Male","5"
"Yakkha",""
"Female","8"
"Male","3"
