"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","6"
"Male","13"
"Bhujel",""
"Female","65"
"Male","61"
"Gurung",""
"Female","115"
"Male","101"
"Limbu",""
"Female","3152"
"Male","2640"
"Magar",""
"Female","1101"
"Male","976"
"Maithili",""
"Female","18"
"Male","43"
"Nepali",""
"Female","4445"
"Male","3697"
"Newar",""
"Female","227"
"Male","180"
"Not Reported",""
"Female","21"
"Male","16"
"Others",""
"Female","22"
"Male","20"
"Rai",""
"Female","106"
"Male","70"
"Sherpa",""
"Female","230"
"Male","182"
"Tamang",""
"Female","455"
"Male","341"
"Yakkha",""
"Female","13"
"Male","6"
