"Population by Five Years Age Group","Number"
"0-4",""
"Female","922"
"Male","1039"
"10-14",""
"Female","1350"
"Male","1417"
"15-19",""
"Female","1244"
"Male","1104"
"20-24",""
"Female","1009"
"Male","680"
"25-29",""
"Female","913"
"Male","665"
"30-34",""
"Female","791"
"Male","565"
"35-39",""
"Female","761"
"Male","635"
"40-44",""
"Female","639"
"Male","540"
"45-49",""
"Female","580"
"Male","563"
"50-54",""
"Female","457"
"Male","433"
"55-59",""
"Female","388"
"Male","437"
"5-9",""
"Female","1184"
"Male","1147"
"60-64",""
"Female","344"
"Male","355"
"65-69",""
"Female","204"
"Male","208"
"70-74",""
"Female","155"
"Male","158"
"75+",""
"Female","175"
"Male","175"
