"Number of households by type of outer wall","Number"
"BambooWall","3555"
"Cement Bonded Bricks/Stone Wall","849"
"Mud Bonded Bricks/Stone Wall","22"
"Not stated","53"
"Others","8"
"Unbaked Bricks","2"
"Wood/Planks","50"
"Total","4539"
