"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","22"
"Cow Dung","1"
"Electricity Fuel","1"
"KeroseneFuel","12"
"LP Gas","310"
"Not Sated about Fuel","12"
"OthersFuel","4"
"Wood/FireWood","4341"
"Total","4703"
