"Population by Caste Ethinicity","Number"
"Badi",""
"Female","95"
"Male","88"
"","183"
"Bangali",""
"Female","27"
"Male","39"
"","66"
"Bhote",""
"Female","9"
"Male","8"
"","17"
"Brahman - Hill",""
"Female","13266"
"Male","13214"
"","26480"
"Brahman - Tarai",""
"Female","49"
"Male","62"
"","111"
"Chhetri",""
"Female","17593"
"Male","16309"
"","33902"
"Dalit Others",""
"Female","3258"
"Male","3205"
"","6463"
"Damai/Dholi",""
"Female","1496"
"Male","1357"
"","2853"
"Dhanuk",""
"Female","11"
"Male","12"
"","23"
"Dhobi",""
"Female","15"
"Male","13"
"","28"
"Foreigner",""
"Female","56"
"Male","74"
"","130"
"Gurung",""
"Female","137"
"Male","150"
"","287"
"Hajam/Thakur",""
"Female","125"
"Male","133"
"","258"
"Halwai",""
"Female","24"
"Male","34"
"","58"
"Janajati Others",""
"Female","17"
"Male","25"
"","42"
"Jhangad/ Dhagar",""
"Female","80"
"Male","80"
"","160"
"Kalwar",""
"Female","5"
"Male","7"
"","12"
"Kami",""
"Female","3537"
"Male","3332"
"","6869"
"Kathabaniyan",""
"Female","183"
"Male","259"
"","442"
"Kayastha",""
"Female","7"
"Male","9"
"","16"
"Kumal",""
"Female","20"
"Male","28"
"","48"
"Kurmi",""
"Female","17"
"Male","21"
"","38"
"Limbu",""
"Female","34"
"Male","26"
"","60"
"Lohar",""
"Female","390"
"Male","349"
"","739"
"Magar",""
"Female","617"
"Male","556"
"","1173"
"Majhi",""
"Female","17"
"Male","24"
"","41"
"Marwadi",""
"Female","16"
"Male","15"
"","31"
"Musahar",""
"Female","16"
"Male","17"
"","33"
"Musalman",""
"Female","78"
"Male","135"
"","213"
"Newar",""
"Female","201"
"Male","183"
"","384"
"Others",""
"Female","37"
"Male","25"
"","62"
"Pahari",""
"Female","8"
"Male","3"
"","11"
"Rai",""
"Female","37"
"Male","34"
"","71"
"Rajbansi",""
"Female","15"
"Male","12"
"","27"
"Rajput",""
"Female","9"
"Male","12"
"","21"
"Raute",""
"Female","3"
"Male","8"
"","11"
"Sanyasi/Dasnami",""
"Female","1280"
"Male","1142"
"","2422"
"Sarki",""
"Female","941"
"Male","867"
"","1808"
"Sunuwar",""
"Female","30"
"Male","16"
"","46"
"Tamang",""
"Female","55"
"Male","50"
"","105"
"Teli",""
"Female","43"
"Male","44"
"","87"
"Terai Others",""
"Female","62"
"Male","55"
"","117"
"Thakuri",""
"Female","5296"
"Male","4718"
"","10014"
"Tharu",""
"Female","4293"
"Male","4320"
"","8613"
"Yadav",""
"Female","7"
"Male","17"
"","24"
