"Population by Five Years Age Group","Number"
"0-4",""
"Female","1060"
"Male","1231"
"10-14",""
"Female","1967"
"Male","2041"
"15-19",""
"Female","2196"
"Male","2135"
"20-24",""
"Female","2219"
"Male","2147"
"25-29",""
"Female","1575"
"Male","1401"
"30-34",""
"Female","1258"
"Male","1108"
"35-39",""
"Female","1138"
"Male","1014"
"40-44",""
"Female","968"
"Male","918"
"45-49",""
"Female","775"
"Male","753"
"50-54",""
"Female","706"
"Male","663"
"55-59",""
"Female","484"
"Male","495"
"5-9",""
"Female","1510"
"Male","1478"
"60-64",""
"Female","480"
"Male","410"
"65-69",""
"Female","400"
"Male","357"
"70-74",""
"Female","289"
"Male","261"
"75+",""
"Female","363"
"Male","342"
