"Population by Five Years Age Group","Number"
"0-4",""
"Female","1592"
"Male","1639"
"10-14",""
"Female","1342"
"Male","1414"
"15-19",""
"Female","1004"
"Male","973"
"20-24",""
"Female","1019"
"Male","958"
"25-29",""
"Female","745"
"Male","880"
"30-34",""
"Female","490"
"Male","594"
"35-39",""
"Female","521"
"Male","578"
"40-44",""
"Female","426"
"Male","486"
"45-49",""
"Female","330"
"Male","446"
"50-54",""
"Female","286"
"Male","349"
"55-59",""
"Female","193"
"Male","285"
"5-9",""
"Female","1469"
"Male","1532"
"60-64",""
"Female","292"
"Male","248"
"65-69",""
"Female","124"
"Male","124"
"70-74",""
"Female","68"
"Male","71"
"75+",""
"Female","69"
"Male","71"
