"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","860"
"Mud Roof","1610"
"Not Sated Roof","244"
"Other Type of Roof","201"
"RCC Roof","72"
"Thatch/Straw Roof","6216"
"Tile/Slate Roof","15578"
"Wood/Planks Roof","107"
"Total","24888"
