"Agricultural land use area","Hectare"
"Area under arable land","7598.00"
"Area under meadows and pasture","671.00"
"Area under permanent crops","154.00"
"Area under Temporary crops","7341.00"
"Area under temporary fallow","179.00"
"Area under temporary meadows","78.00"
"Other land","390.00"
"Ponds","5.00"
"Woodland and forest","595.00"
"Total","17011.00"
