"Population by Religion","Number"
"Bahai","4"
"Bon","1"
"Buddism","3701"
"Christianity","2013"
"Hindu","58092"
"Islam","1016"
"Jainism","1"
"Kirat","8025"
"Prakriti","2630"
"Sikhism","0"
"Undefined","260"
"Total","75743"
