"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","9"
"Male","16"
"Bhote",""
"Female","40"
"Male","37"
"Brahman - Hill",""
"Female","111"
"Male","138"
"Chhetri",""
"Female","5902"
"Male","6173"
"Dalit Others",""
"Female","247"
"Male","284"
"Damai/Dholi",""
"Female","518"
"Male","567"
"Kami",""
"Female","1621"
"Male","1587"
"Kumal",""
"Female","23"
"Male","24"
"Mallaha",""
"Female","5"
"Male","7"
"Newar",""
"Female","60"
"Male","75"
"Others",""
"Female","11"
"Male","24"
"Sarki",""
"Female","39"
"Male","40"
"Tamang",""
"Female","38"
"Male","31"
"Terai Others",""
"Female","20"
"Male","15"
"Thakuri",""
"Female","1189"
"Male","1219"
"Tharu",""
"Female","2"
"Male","10"
