"Industries Types","Number"
"Accommodation and food","6045"
"Administrative and support service activity","294"
"Agriculture, forestry and fishing","436"
"Art, entertainment and recreation","58"
"Construction","11"
"Education","1018"
"Electricty gas and water","12"
"Financial intermediation and insurance","604"
"Health and social work","501"
"Information and communications","82"
"Manufacturing","4318"
"Mining and quarrying","6"
"Other service activities","2579"
"Professional,scientific and techniqual activity","318"
"Real state, renting and business activities","19"
"Transport and storage","94"
"Water supply, wet management","64"
"Wholesale and retail trade","22330"
"Total","38789"
