"Industries Employment","Number"
"Accommodation,  food",""
"Female","7076"
"Male","6302"
"Administrative, support service",""
"Female","210"
"Male","763"
"Agriculture, forestry and  fishing",""
"Female","2084"
"Male","1995"
"Arts, entertainment, recreation",""
"Female","37"
"Male","157"
"Construction",""
"Female","22"
"Male","162"
"Education",""
"Female","7571"
"Male","9583"
"Electricity, gas and water",""
"Female","70"
"Male","396"
"Financial intermediation and insurance",""
"Female","2328"
"Male","2828"
"Health, social work",""
"Female","2520"
"Male","2134"
"Information and communication",""
"Female","303"
"Male","903"
"Manufacturing",""
"Female","5902"
"Male","14549"
"Other service activities",""
"Female","2349"
"Male","3422"
"Professional, scientific, techniqual activity",""
"Female","131"
"Male","590"
"Real estate, renting and business activity",""
"Female","8"
"Male","85"
"Transportation,  storage",""
"Female","117"
"Male","512"
"Water supply, wet management",""
"Female","100"
"Male","290"
"Wholesale, retail trade",""
"Female","17116"
"Male","24129"
