"Industries Types","Number"
"Accommodation and food","578"
"Administrative and support service activity","8"
"Agriculture, forestry and fishing","391"
"Art, entertainment and recreation","13"
"Construction","143"
"Education","270"
"Electricty gas and water","18"
"Financial intermediation and insurance","219"
"Health and social work","223"
"Information and communications","12"
"Manufacturing","791"
"Mining and quarrying","6"
"Other service activities","227"
"Professional,scientific and techniqual activity","23"
"Real state, renting and business activities","0"
"Transport and storage","46"
"Water supply, wet management","4"
"Wholesale and retail trade","2091"
"Total","5063"
