"Agricultural land use area","Hectare"
"Area under arable land","76398.61"
"Area under meadows and pasture","11.85"
"Area under permanent crops","1709.26"
"Area under Temporary crops","75867.94"
"Area under temporary fallow","416.14"
"Area under temporary meadows","114.52"
"Other land","2300.93"
"Ponds","97.89"
"Woodland and forest","159.86"
