"Population by Five Years Age Group","Number"
"0-4",""
"Female","30876"
"Male","32381"
"10-14",""
"Female","41533"
"Male","41893"
"15-19",""
"Female","30897"
"Male","30914"
"20-24",""
"Female","27030"
"Male","21554"
"25-29",""
"Female","26947"
"Male","21756"
"30-34",""
"Female","24106"
"Male","18247"
"35-39",""
"Female","21862"
"Male","20066"
"40-44",""
"Female","17479"
"Male","16701"
"45-49",""
"Female","14888"
"Male","15479"
"50-54",""
"Female","11955"
"Male","12463"
"55-59",""
"Female","10745"
"Male","11925"
"5-9",""
"Female","41957"
"Male","44176"
"60-64",""
"Female","10060"
"Male","10062"
"65-69",""
"Female","6758"
"Male","7235"
"70-74",""
"Female","4530"
"Male","4918"
"75+",""
"Female","3815"
"Male","4076"
