"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","390"
"Cow Dung","70462"
"Electricity","39"
"Kerosene","2101"
"LP Gas","5015"
"Not stated","1699"
"Others","151"
"Wood/Firewood","41207"
"Total","121064"
