"Agricultural land use area","Hectare"
"Area under arable land","67054.55"
"Area under meadows and pasture","1311.89"
"Area under permanent crops","2315.16"
"Area under Temporary crops","66901.84"
"Area under temporary fallow","139.77"
"Area under temporary meadows","12.95"
"Other land","2821.48"
"Ponds","356.31"
"Woodland and forest","48.36"
