"Population by Single Year of Age","Number"
"0",""
"Female","317"
"Male","388"
"1",""
"Female","338"
"Male","375"
"10",""
"Female","528"
"Male","564"
"11",""
"Female","512"
"Male","514"
"12",""
"Female","568"
"Male","618"
"13",""
"Female","553"
"Male","528"
"14",""
"Female","537"
"Male","465"
"15",""
"Female","546"
"Male","503"
"16",""
"Female","531"
"Male","429"
"17",""
"Female","522"
"Male","403"
"18",""
"Female","607"
"Male","407"
"19",""
"Female","473"
"Male","276"
"2",""
"Female","320"
"Male","406"
"20",""
"Female","513"
"Male","262"
"21",""
"Female","529"
"Male","281"
"22",""
"Female","529"
"Male","302"
"23",""
"Female","440"
"Male","249"
"24",""
"Female","421"
"Male","273"
"25",""
"Female","482"
"Male","334"
"26",""
"Female","404"
"Male","312"
"27",""
"Female","391"
"Male","286"
"28",""
"Female","389"
"Male","262"
"29",""
"Female","279"
"Male","196"
"3",""
"Female","330"
"Male","394"
"30",""
"Female","440"
"Male","281"
"31",""
"Female","228"
"Male","165"
"32",""
"Female","357"
"Male","185"
"33",""
"Female","260"
"Male","149"
"34",""
"Female","224"
"Male","156"
"35",""
"Female","467"
"Male","263"
"36",""
"Female","254"
"Male","165"
"37",""
"Female","229"
"Male","128"
"38",""
"Female","257"
"Male","178"
"39",""
"Female","193"
"Male","126"
"4",""
"Female","443"
"Male","497"
"40",""
"Female","492"
"Male","229"
"41",""
"Female","188"
"Male","145"
"42",""
"Female","277"
"Male","194"
"43",""
"Female","186"
"Male","130"
"44",""
"Female","175"
"Male","128"
"45",""
"Female","362"
"Male","223"
"46",""
"Female","159"
"Male","135"
"47",""
"Female","145"
"Male","127"
"48",""
"Female","209"
"Male","152"
"49",""
"Female","200"
"Male","123"
"5",""
"Female","433"
"Male","541"
"50",""
"Female","299"
"Male","267"
"51",""
"Female","140"
"Male","137"
"52",""
"Female","186"
"Male","178"
"53",""
"Female","121"
"Male","120"
"54",""
"Female","118"
"Male","121"
"55",""
"Female","233"
"Male","168"
"56",""
"Female","139"
"Male","145"
"57",""
"Female","109"
"Male","102"
"58",""
"Female","133"
"Male","123"
"59",""
"Female","93"
"Male","91"
"6",""
"Female","474"
"Male","448"
"60",""
"Female","256"
"Male","210"
"61",""
"Female","132"
"Male","117"
"62",""
"Female","124"
"Male","128"
"63",""
"Female","94"
"Male","94"
"64",""
"Female","96"
"Male","82"
"65",""
"Female","161"
"Male","110"
"66",""
"Female","68"
"Male","80"
"67",""
"Female","129"
"Male","124"
"68",""
"Female","118"
"Male","101"
"69",""
"Female","40"
"Male","50"
"7",""
"Female","516"
"Male","543"
"70",""
"Female","165"
"Male","128"
"71",""
"Female","53"
"Male","70"
"72",""
"Female","86"
"Male","85"
"73",""
"Female","54"
"Male","69"
"74",""
"Female","36"
"Male","50"
"75",""
"Female","78"
"Male","68"
"76",""
"Female","49"
"Male","38"
"77",""
"Female","32"
"Male","37"
"78",""
"Female","48"
"Male","60"
"79",""
"Female","31"
"Male","32"
"8",""
"Female","491"
"Male","572"
"80",""
"Female","48"
"Male","48"
"81",""
"Female","22"
"Male","36"
"82",""
"Female","22"
"Male","35"
"83",""
"Female","16"
"Male","20"
"84",""
"Female","22"
"Male","17"
"85",""
"Female","69"
"Male","80"
"9",""
"Female","498"
"Male","505"
