"Population by Caste Ethinicity","Number"
"Badi",""
"Female","38"
"Male","27"
"","65"
"Brahman - Hill",""
"Female","3257"
"Male","2793"
"","6050"
"Chhetri",""
"Female","3230"
"Male","2678"
"","5908"
"Dalit Others",""
"Female","23"
"Male","19"
"","42"
"Damai/Dholi",""
"Female","391"
"Male","314"
"","705"
"Gurung",""
"Female","29"
"Male","22"
"","51"
"Kami",""
"Female","1182"
"Male","972"
"","2154"
"Lohar",""
"Female","51"
"Male","49"
"","100"
"Magar",""
"Female","465"
"Male","375"
"","840"
"Musalman",""
"Female","139"
"Male","131"
"","270"
"Newar",""
"Female","86"
"Male","75"
"","161"
"Others",""
"Female","42"
"Male","27"
"","69"
"Rai",""
"Female","15"
"Male","9"
"","24"
"Sanyasi/Dasnami",""
"Female","254"
"Male","241"
"","495"
"Sarki",""
"Female","37"
"Male","26"
"","63"
"Tamang",""
"Female","22"
"Male","10"
"","32"
"Terai Others",""
"Female","7"
"Male","6"
"","13"
"Thakuri",""
"Female","622"
"Male","505"
"","1127"
"Tharu",""
"Female","13577"
"Male","12405"
"","25982"
"Yadav",""
"Female","7"
"Male","5"
"","12"
"Yakkha",""
"Female","78"
"Male","75"
"","153"
