"Population by Five Years Age Group","Number"
"0-4",""
"Female","922"
"Male","1022"
"10-14",""
"Female","1603"
"Male","1497"
"15-19",""
"Female","1444"
"Male","1144"
"20-24",""
"Female","1097"
"Male","696"
"25-29",""
"Female","1025"
"Male","623"
"30-34",""
"Female","805"
"Male","602"
"35-39",""
"Female","745"
"Male","603"
"40-44",""
"Female","612"
"Male","520"
"45-49",""
"Female","463"
"Male","492"
"50-54",""
"Female","377"
"Male","393"
"55-59",""
"Female","366"
"Male","364"
"5-9",""
"Female","1266"
"Male","1257"
"60-64",""
"Female","329"
"Male","305"
"65-69",""
"Female","199"
"Male","215"
"70-74",""
"Female","139"
"Male","149"
"75+",""
"Female","109"
"Male","101"
