"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","98"
"Male","58"
"Brahman - Hill",""
"Female","562"
"Male","498"
"Chhetri",""
"Female","3504"
"Male","2825"
"Damai/Dholi",""
"Female","355"
"Male","294"
"Kami",""
"Female","544"
"Male","464"
"Kumal",""
"Female","20"
"Male","23"
"Magar",""
"Female","463"
"Male","437"
"Newar",""
"Female","20"
"Male","19"
"Others",""
"Female","27"
"Male","19"
"Sanyasi/Dasnami",""
"Female","466"
"Male","379"
"Sarki",""
"Female","236"
"Male","172"
"Tamang",""
"Female","12"
"Male","9"
"Thakuri",""
"Female","97"
"Male","76"
"Tharu",""
"Female","5097"
"Male","4710"
