"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1590"
"Male","1423"
"","3013"
"Chamar/ Harijan/ Ram",""
"Female","9"
"Male","4"
"","13"
"Chhetri",""
"Female","3121"
"Male","2874"
"","5995"
"Dalit Others",""
"Female","48"
"Male","53"
"","101"
"Damai/Dholi",""
"Female","321"
"Male","309"
"","630"
"Kami",""
"Female","621"
"Male","583"
"","1204"
"Limbu",""
"Female","15"
"Male","7"
"","22"
"Lohar",""
"Female","109"
"Male","89"
"","198"
"Magar",""
"Female","243"
"Male","207"
"","450"
"Others",""
"Female","27"
"Male","14"
"","41"
"Sanyasi/Dasnami",""
"Female","480"
"Male","450"
"","930"
"Sarki",""
"Female","487"
"Male","455"
"","942"
"Thakuri",""
"Female","330"
"Male","260"
"","590"
