"Number of households by type of outer wall","Number"
"BambooWall","2369"
"Cement Bonded Bricks/Stone Wall","700"
"Mud Bonded Bricks/Stone Wall","282"
"Not stated","16"
"Others","2"
"Unbaked Bricks","7"
"Wood/Planks","93"
"Total","3469"
