"Population by Five Years Age Group","Number"
"0-4",""
"Female","1130"
"Male","1167"
"10-14",""
"Female","1181"
"Male","1348"
"15-19",""
"Female","779"
"Male","874"
"20-24",""
"Female","836"
"Male","511"
"25-29",""
"Female","832"
"Male","551"
"30-34",""
"Female","652"
"Male","409"
"35-39",""
"Female","604"
"Male","402"
"40-44",""
"Female","499"
"Male","382"
"45-49",""
"Female","467"
"Male","370"
"50-54",""
"Female","342"
"Male","386"
"55-59",""
"Female","302"
"Male","362"
"5-9",""
"Female","1303"
"Male","1329"
"60-64",""
"Female","262"
"Male","261"
"65-69",""
"Female","188"
"Male","243"
"70-74",""
"Female","148"
"Male","140"
"75+",""
"Female","135"
"Male","148"
