"Agricultural land use area","Hectare"
"Area under arable land","6143.00"
"Area under meadows and pasture","85.00"
"Area under permanent crops","537.00"
"Area under Temporary crops","5701.00"
"Area under temporary fallow","393.00"
"Area under temporary meadows","49.00"
"Other land","229.00"
"Ponds","4.00"
"Woodland and forest","13.00"
"Total","13154.00"
