"Number of households by type of outer wall","Number"
"BambooWall","942"
"Cement Bonded Bricks/Stone Wall","3111"
"Mud Bonded Bricks/Stone Wall","1430"
"Not stated","42"
"Others","548"
"Unbaked Bricks","23"
"Wood/Planks","3123"
"Total","9219"
