"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","782"
"Cow Dung","52"
"Electricity","0"
"Kerosene","42"
"LP Gas","395"
"Not stated","26"
"Others","23"
"Wood/Firewood","7899"
"Total","9219"
