"Industries Employment","Number"
"Accommodation,  food",""
"Female","3556"
"Male","4818"
"Administrative, support service",""
"Female","57"
"Male","137"
"Agriculture, forestry and  fishing",""
"Female","313"
"Male","502"
"Arts, entertainment, recreation",""
"Female","163"
"Male","562"
"Construction",""
"Female","17"
"Male","147"
"Education",""
"Female","6729"
"Male","5970"
"Electricity, gas and water",""
"Female","56"
"Male","350"
"Financial intermediation and insurance",""
"Female","3671"
"Male","3823"
"Health, social work",""
"Female","3726"
"Male","1999"
"Information and communication",""
"Female","243"
"Male","677"
"Manufacturing",""
"Female","8152"
"Male","16212"
"Other service activities",""
"Female","1749"
"Male","2298"
"Professional, scientific, techniqual activity",""
"Female","319"
"Male","641"
"Real estate, renting and business activity",""
"Female","10"
"Male","36"
"Transportation,  storage",""
"Female","51"
"Male","120"
"Water supply, wet management",""
"Female","132"
"Male","531"
"Wholesale, retail trade",""
"Female","7445"
"Male","10987"
