"Industries Types","Number"
"Accommodation and food","3403"
"Administrative and support service activity","90"
"Agriculture, forestry and fishing","154"
"Art, entertainment and recreation","131"
"Construction","29"
"Education","512"
"Electricty gas and water","29"
"Financial intermediation and insurance","496"
"Health and social work","463"
"Information and communications","53"
"Manufacturing","3367"
"Mining and quarrying","7"
"Other service activities","1188"
"Professional,scientific and techniqual activity","203"
"Real state, renting and business activities","10"
"Transport and storage","23"
"Water supply, wet management","86"
"Wholesale and retail trade","9387"
"Total","19631"
