"Agricultural land use area","Hectare"
"Area under arable land","16795.00"
"Area under meadows and pasture","247.00"
"Area under permanent crops","9788.00"
"Area under Temporary crops","16135.00"
"Area under temporary fallow","533.00"
"Area under temporary meadows","127.00"
"Other land","1014.00"
"Ponds","2.00"
"Woodland and forest","3752.00"
"Total","48393.00"
