"Number of households by type of outer wall","Number"
"BambooWall","939"
"Cement Bonded Bricks/Stone Wall","2754"
"Mud Bonded Bricks/Stone Wall","41159"
"Not Stated about Wall","208"
"Other Type Wall","46"
"Unbaked Bricks","149"
"Wood/Planks","1571"
"Total","46826"
