"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","8"
"Cow Dung","1851"
"Electricity","0"
"Kerosene","52"
"LP Gas","108"
"Not stated","105"
"Others","2"
"Wood/Firewood","6589"
"Total","8715"
