"Population by Single Year of Age","Number"
"0",""
"Female","365"
"Male","374"
"1",""
"Female","329"
"Male","348"
"10",""
"Female","995"
"Male","1073"
"11",""
"Female","412"
"Male","380"
"12",""
"Female","782"
"Male","826"
"13",""
"Female","458"
"Male","502"
"14",""
"Female","527"
"Male","586"
"15",""
"Female","539"
"Male","602"
"16",""
"Female","485"
"Male","560"
"17",""
"Female","302"
"Male","374"
"18",""
"Female","503"
"Male","610"
"19",""
"Female","196"
"Male","227"
"2",""
"Female","587"
"Male","522"
"20",""
"Female","682"
"Male","544"
"21",""
"Female","179"
"Male","179"
"22",""
"Female","531"
"Male","374"
"23",""
"Female","234"
"Male","177"
"24",""
"Female","264"
"Male","230"
"25",""
"Female","845"
"Male","571"
"26",""
"Female","310"
"Male","189"
"27",""
"Female","236"
"Male","140"
"28",""
"Female","493"
"Male","280"
"29",""
"Female","136"
"Male","119"
"3",""
"Female","547"
"Male","559"
"30",""
"Female","1026"
"Male","639"
"31",""
"Female","75"
"Male","69"
"32",""
"Female","337"
"Male","300"
"33",""
"Female","133"
"Male","102"
"34",""
"Female","119"
"Male","88"
"35",""
"Female","1033"
"Male","729"
"36",""
"Female","188"
"Male","126"
"37",""
"Female","111"
"Male","90"
"38",""
"Female","275"
"Male","209"
"39",""
"Female","89"
"Male","87"
"4",""
"Female","568"
"Male","525"
"40",""
"Female","903"
"Male","736"
"41",""
"Female","35"
"Male","53"
"42",""
"Female","194"
"Male","194"
"43",""
"Female","78"
"Male","64"
"44",""
"Female","85"
"Male","75"
"45",""
"Female","704"
"Male","710"
"46",""
"Female","75"
"Male","75"
"47",""
"Female","66"
"Male","98"
"48",""
"Female","154"
"Male","133"
"49",""
"Female","49"
"Male","45"
"5",""
"Female","699"
"Male","676"
"50",""
"Female","580"
"Male","672"
"51",""
"Female","30"
"Male","40"
"52",""
"Female","105"
"Male","109"
"53",""
"Female","45"
"Male","55"
"54",""
"Female","33"
"Male","45"
"55",""
"Female","414"
"Male","463"
"56",""
"Female","34"
"Male","51"
"57",""
"Female","32"
"Male","55"
"58",""
"Female","106"
"Male","82"
"59",""
"Female","34"
"Male","40"
"6",""
"Female","600"
"Male","599"
"60",""
"Female","516"
"Male","549"
"61",""
"Female","30"
"Male","42"
"62",""
"Female","93"
"Male","91"
"63",""
"Female","28"
"Male","36"
"64",""
"Female","17"
"Male","23"
"65",""
"Female","356"
"Male","341"
"66",""
"Female","33"
"Male","29"
"67",""
"Female","30"
"Male","23"
"68",""
"Female","58"
"Male","84"
"69",""
"Female","10"
"Male","36"
"7",""
"Female","574"
"Male","564"
"70",""
"Female","239"
"Male","251"
"71",""
"Female","4"
"Male","18"
"72",""
"Female","47"
"Male","43"
"73",""
"Female","8"
"Male","17"
"74",""
"Female","8"
"Male","10"
"75",""
"Female","90"
"Male","99"
"76",""
"Female","1"
"Male","6"
"77",""
"Female","5"
"Male","6"
"78",""
"Female","16"
"Male","12"
"79",""
"Female","7"
"Male","4"
"8",""
"Female","853"
"Male","846"
"80",""
"Female","55"
"Male","78"
"81",""
"Female","2"
"Male","2"
"83",""
"Female","0"
"Male","2"
"84",""
"Female","2"
"Male","0"
"85",""
"Female","42"
"Male","41"
"9",""
"Female","433"
"Male","449"
