"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","4755"
"Cow Dung","52"
"Electricity","68"
"Kerosene","272"
"LP Gas","13998"
"Not stated","340"
"Others","82"
"Wood/Firewood","47348"
"Total","66915"
