"Agricultural land use area","Hectare"
"Area under arable land","18451.48"
"Area under meadows and pasture","40.39"
"Area under permanent crops","1476.09"
"Area under Temporary crops","18238.42"
"Area under temporary fallow","177.91"
"Area under temporary meadows","35.15"
"Other land","1483.33"
"Ponds","10.87"
"Woodland and forest","172.82"
