"Population by Five Years Age Group","Number"
"0-4",""
"Female","12642"
"Male","13728"
"10-14",""
"Female","20903"
"Male","21327"
"15-19",""
"Female","19880"
"Male","17292"
"20-24",""
"Female","17616"
"Male","10693"
"25-29",""
"Female","15363"
"Male","8331"
"30-34",""
"Female","12532"
"Male","7619"
"35-39",""
"Female","10814"
"Male","7291"
"40-44",""
"Female","9185"
"Male","7098"
"45-49",""
"Female","7702"
"Male","6606"
"50-54",""
"Female","6572"
"Male","6037"
"55-59",""
"Female","5272"
"Male","5107"
"5-9",""
"Female","16864"
"Male","18111"
"60-64",""
"Female","4693"
"Male","4539"
"65-69",""
"Female","3341"
"Male","3576"
"70-74",""
"Female","2371"
"Male","2452"
"75+",""
"Female","3075"
"Male","2972"
