"Population by Five Years Age Group","Number"
"0-4",""
"Female","1573"
"Male","1640"
"10-14",""
"Female","1964"
"Male","2004"
"15-19",""
"Female","1263"
"Male","1452"
"20-24",""
"Female","1290"
"Male","1230"
"25-29",""
"Female","1361"
"Male","1345"
"30-34",""
"Female","1158"
"Male","1044"
"35-39",""
"Female","950"
"Male","1108"
"40-44",""
"Female","867"
"Male","857"
"45-49",""
"Female","744"
"Male","849"
"50-54",""
"Female","583"
"Male","652"
"55-59",""
"Female","508"
"Male","599"
"5-9",""
"Female","2084"
"Male","2127"
"60-64",""
"Female","421"
"Male","481"
"65-69",""
"Female","354"
"Male","358"
"70-74",""
"Female","233"
"Male","274"
"75+",""
"Female","198"
"Male","232"
