"Number of households by type of outer wall","Number"
"BambooWall","4489"
"Cement Bonded Bricks/Stone Wall","889"
"Mud Bonded Bricks/Stone Wall","226"
"Not stated","29"
"Others","9"
"Unbaked Bricks","11"
"Wood/Planks","44"
"Total","5697"
