"Population by Caste Ethinicity","Number"
"Badi",""
"Female","30"
"Male","24"
"","54"
"Brahman - Hill",""
"Female","3684"
"Male","2765"
"","6449"
"Chhetri",""
"Female","2152"
"Male","1582"
"","3734"
"Damai/Dholi",""
"Female","568"
"Male","435"
"","1003"
"Gharti/Bhujel",""
"Female","265"
"Male","235"
"","500"
"Gurung",""
"Female","781"
"Male","615"
"","1396"
"Kami",""
"Female","1122"
"Male","825"
"","1947"
"Magar",""
"Female","91"
"Male","77"
"","168"
"Musalman",""
"Female","22"
"Male","17"
"","39"
"Newar",""
"Female","14"
"Male","9"
"","23"
"Others",""
"Female","18"
"Male","18"
"","36"
"Rai",""
"Female","5"
"Male","18"
"","23"
"Sanyasi/Dasnami",""
"Female","16"
"Male","13"
"","29"
"Sarki",""
"Female","450"
"Male","313"
"","763"
"Tamang",""
"Female","9"
"Male","6"
"","15"
