"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","14"
"Cow Dung","6"
"Electricity Fuel","0"
"KeroseneFuel","2"
"LP Gas","3"
"Not Sated about Fuel","34"
"OthersFuel","0"
"Wood/FireWood","3649"
"Total","3708"
