"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1749"
"Male","1351"
"Chhetri",""
"Female","742"
"Male","579"
"Damai/Dholi",""
"Female","246"
"Male","174"
"Gharti/Bhujel",""
"Female","313"
"Male","239"
"Gurung",""
"Female","1781"
"Male","1385"
"Kami",""
"Female","867"
"Male","660"
"Magar",""
"Female","4155"
"Male","3258"
"Musalman",""
"Female","9"
"Male","8"
"Newar",""
"Female","54"
"Male","46"
"Others",""
"Female","19"
"Male","10"
"Rai",""
"Female","10"
"Male","7"
"Sanyasi/Dasnami",""
"Female","23"
"Male","22"
"Sarki",""
"Female","254"
"Male","207"
"Terai Others",""
"Female","12"
"Male","7"
"Thakuri",""
"Female","134"
"Male","92"
