"Population by Five Years Age Group","Number"
"0-4",""
"Female","685"
"Male","718"
"10-14",""
"Female","1253"
"Male","1130"
"15-19",""
"Female","1210"
"Male","1091"
"20-24",""
"Female","877"
"Male","529"
"25-29",""
"Female","718"
"Male","333"
"30-34",""
"Female","591"
"Male","289"
"35-39",""
"Female","597"
"Male","294"
"40-44",""
"Female","607"
"Male","348"
"45-49",""
"Female","516"
"Male","390"
"50-54",""
"Female","538"
"Male","425"
"55-59",""
"Female","496"
"Male","415"
"5-9",""
"Female","864"
"Male","818"
"60-64",""
"Female","484"
"Male","371"
"65-69",""
"Female","314"
"Male","308"
"70-74",""
"Female","263"
"Male","247"
"75+",""
"Female","355"
"Male","339"
