"Population by Five Years Age Group","Number"
"0-4",""
"Female","1787"
"Male","1853"
"10-14",""
"Female","2315"
"Male","2491"
"15-19",""
"Female","1465"
"Male","1869"
"20-24",""
"Female","1388"
"Male","1255"
"25-29",""
"Female","1411"
"Male","1165"
"30-34",""
"Female","1304"
"Male","1011"
"35-39",""
"Female","1185"
"Male","1010"
"40-44",""
"Female","1046"
"Male","895"
"45-49",""
"Female","854"
"Male","838"
"50-54",""
"Female","700"
"Male","738"
"55-59",""
"Female","636"
"Male","665"
"5-9",""
"Female","2238"
"Male","2350"
"60-64",""
"Female","578"
"Male","577"
"65-69",""
"Female","405"
"Male","440"
"70-74",""
"Female","247"
"Male","308"
"75+",""
"Female","240"
"Male","260"
