"Population by Five Years Age Group","Number"
"0-4",""
"Female","2106"
"Male","2142"
"10-14",""
"Female","2608"
"Male","2580"
"15-19",""
"Female","1995"
"Male","1779"
"20-24",""
"Female","1493"
"Male","1228"
"25-29",""
"Female","1253"
"Male","1035"
"30-34",""
"Female","1043"
"Male","778"
"35-39",""
"Female","919"
"Male","721"
"40-44",""
"Female","804"
"Male","603"
"45-49",""
"Female","715"
"Male","538"
"50-54",""
"Female","567"
"Male","474"
"55-59",""
"Female","478"
"Male","400"
"5-9",""
"Female","2350"
"Male","2372"
"60-64",""
"Female","636"
"Male","354"
"65-69",""
"Female","527"
"Male","296"
"70-74",""
"Female","400"
"Male","245"
"75+",""
"Female","421"
"Male","268"
