"Population by Mother tongue","Number"
"Athpariya",""
"Female","15"
"Male","7"
"","22"
"Bahing",""
"Female","8"
"Male","6"
"","14"
"Bangla",""
"Female","44"
"Male","68"
"","112"
"Bantawa",""
"Female","84"
"Male","67"
"","151"
"Bhojpuri",""
"Female","38"
"Male","45"
"","83"
"Bhujel",""
"Female","23"
"Male","25"
"","48"
"Chamling",""
"Female","42"
"Male","30"
"","72"
"Danuwar",""
"Female","274"
"Male","253"
"","527"
"Dhimal",""
"Female","2028"
"Male","1646"
"","3674"
"Doteli",""
"Female","6"
"Male","13"
"","19"
"Gurung",""
"Female","234"
"Male","198"
"","432"
"Hariyanwi",""
"Female","19"
"Male","18"
"","37"
"Hindi",""
"Female","115"
"Male","162"
"","277"
"Kulung",""
"Female","25"
"Male","17"
"","42"
"Kumal",""
"Female","6"
"Male","9"
"","15"
"Limbu",""
"Female","2036"
"Male","1675"
"","3711"
"Magar",""
"Female","618"
"Male","501"
"","1119"
"Maithili",""
"Female","701"
"Male","821"
"","1522"
"Majhi",""
"Female","96"
"Male","90"
"","186"
"Meche",""
"Female","9"
"Male","6"
"","15"
"Nepali",""
"Female","18373"
"Male","15330"
"","33703"
"Newar",""
"Female","1204"
"Male","1005"
"","2209"
"Not Reported",""
"Female","128"
"Male","120"
"","248"
"Others",""
"Female","144"
"Male","122"
"","266"
"Rai",""
"Female","935"
"Male","786"
"","1721"
"Rajbanshi",""
"Female","108"
"Male","107"
"","215"
"Rajsthani",""
"Female","75"
"Male","88"
"","163"
"Sampang",""
"Female","15"
"Male","16"
"","31"
"Santhali",""
"Female","278"
"Male","285"
"","563"
"Sherpa",""
"Female","6"
"Male","10"
"","16"
"Sunuwar",""
"Female","16"
"Male","14"
"","30"
"Tajpuriya",""
"Female","8"
"Male","8"
"","16"
"Tamang",""
"Female","1365"
"Male","1079"
"","2444"
"Tharu",""
"Female","293"
"Male","306"
"","599"
"Uranw/Urau",""
"Female","65"
"Male","68"
"","133"
"Urdu",""
"Female","88"
"Male","113"
"","201"
"Yakkha",""
"Female","26"
"Male","34"
"","60"
