"Number of households by type of outer wall","Number"
"BambooWall","5942"
"Cement Bonded Bricks/Stone Wall","1548"
"Mud Bonded Bricks/Stone Wall","463"
"Not Stated about Wall","312"
"Other Type Wall","11"
"Unbaked Bricks","8"
"Wood/Planks","473"
"Total","8757"
