"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","9"
"Male","9"
"Bhote",""
"Female","11"
"Male","9"
"Brahman - Hill",""
"Female","340"
"Male","296"
"Chhetri",""
"Female","3961"
"Male","3691"
"Dalit Others",""
"Female","79"
"Male","61"
"Damai/Dholi",""
"Female","176"
"Male","140"
"Foreigner",""
"Female","7"
"Male","6"
"Kami",""
"Female","564"
"Male","557"
"Magar",""
"Female","6"
"Male","6"
"Newar",""
"Female","10"
"Male","10"
"Others",""
"Female","11"
"Male","7"
"Rajput",""
"Female","6"
"Male","5"
"Sarki",""
"Female","149"
"Male","143"
"Tamang",""
"Female","14"
"Male","16"
"Terai Others",""
"Female","10"
"Male","8"
"Thakuri",""
"Female","663"
"Male","577"
