"Population by Five Years Age Group","Number"
"0-4",""
"Female","2268"
"Male","2326"
"10-14",""
"Female","2730"
"Male","2728"
"15-19",""
"Female","2117"
"Male","1883"
"20-24",""
"Female","1659"
"Male","1194"
"25-29",""
"Female","1250"
"Male","908"
"30-34",""
"Female","1141"
"Male","837"
"35-39",""
"Female","1026"
"Male","821"
"40-44",""
"Female","792"
"Male","767"
"45-49",""
"Female","641"
"Male","627"
"50-54",""
"Female","484"
"Male","496"
"55-59",""
"Female","425"
"Male","437"
"5-9",""
"Female","2527"
"Male","2692"
"60-64",""
"Female","378"
"Male","438"
"65-69",""
"Female","290"
"Male","252"
"70-74",""
"Female","224"
"Male","182"
"75+",""
"Female","248"
"Male","242"
