"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","42"
"Male","36"
"Brahman - Hill",""
"Female","2023"
"Male","1926"
"Chhetri",""
"Female","11500"
"Male","10673"
"Dalit Others",""
"Female","34"
"Male","25"
"Damai/Dholi",""
"Female","578"
"Male","504"
"Gurung",""
"Female","13"
"Male","14"
"Kami",""
"Female","1473"
"Male","1239"
"Lohar",""
"Female","260"
"Male","278"
"Magar",""
"Female","776"
"Male","734"
"Musalman",""
"Female","7"
"Male","6"
"Newar",""
"Female","4"
"Male","7"
"Others",""
"Female","20"
"Male","12"
"Raute",""
"Female","129"
"Male","140"
"Sanyasi/Dasnami",""
"Female","546"
"Male","474"
"Sarki",""
"Female","456"
"Male","478"
"Terai Others",""
"Female","6"
"Male","9"
"Thakuri",""
"Female","312"
"Male","234"
"Tharu",""
"Female","10"
"Male","5"
