"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","7"
"Male","7"
"Brahman - Hill",""
"Female","2418"
"Male","1949"
"Chhetri",""
"Female","3124"
"Male","2443"
"Damai/Dholi",""
"Female","599"
"Male","439"
"Gharti/Bhujel",""
"Female","172"
"Male","149"
"Kami",""
"Female","2618"
"Male","2127"
"Kumal",""
"Female","161"
"Male","145"
"Magar",""
"Female","2284"
"Male","1726"
"Newar",""
"Female","16"
"Male","7"
"Others",""
"Female","6"
"Male","1"
"Sanyasi/Dasnami",""
"Female","427"
"Male","370"
"Sarki",""
"Female","271"
"Male","223"
"Terai Others",""
"Female","15"
"Male","8"
"Thakuri",""
"Female","9"
"Male","8"
