"Population by Single Year of Age","Number"
"0",""
"Female","5642"
"Male","6077"
"1",""
"Female","4823"
"Male","5205"
"10",""
"Female","12446"
"Male","13380"
"11",""
"Female","5517"
"Male","5586"
"12",""
"Female","10623"
"Male","11492"
"13",""
"Female","6615"
"Male","6701"
"14",""
"Female","7465"
"Male","7830"
"15",""
"Female","7478"
"Male","8165"
"16",""
"Female","6953"
"Male","7359"
"17",""
"Female","4300"
"Male","4671"
"18",""
"Female","7016"
"Male","7658"
"19",""
"Female","3246"
"Male","3191"
"2",""
"Female","7288"
"Male","7804"
"20",""
"Female","9611"
"Male","7191"
"21",""
"Female","2845"
"Male","2732"
"22",""
"Female","6643"
"Male","5247"
"23",""
"Female","3787"
"Male","2736"
"24",""
"Female","4292"
"Male","3076"
"25",""
"Female","11797"
"Male","8037"
"26",""
"Female","3702"
"Male","2940"
"27",""
"Female","3332"
"Male","2769"
"28",""
"Female","6842"
"Male","4508"
"29",""
"Female","1525"
"Male","1423"
"3",""
"Female","8087"
"Male","8104"
"30",""
"Female","13602"
"Male","8974"
"31",""
"Female","1070"
"Male","1035"
"32",""
"Female","5311"
"Male","3851"
"33",""
"Female","2162"
"Male","1327"
"34",""
"Female","2050"
"Male","1352"
"35",""
"Female","12497"
"Male","10331"
"36",""
"Female","2292"
"Male","2164"
"37",""
"Female","1518"
"Male","1396"
"38",""
"Female","4468"
"Male","2968"
"39",""
"Female","1048"
"Male","916"
"4",""
"Female","7821"
"Male","8144"
"40",""
"Female","11258"
"Male","9863"
"41",""
"Female","723"
"Male","893"
"42",""
"Female","2787"
"Male","2623"
"43",""
"Female","1523"
"Male","896"
"44",""
"Female","1136"
"Male","861"
"45",""
"Female","8985"
"Male","9254"
"46",""
"Female","1098"
"Male","1135"
"47",""
"Female","850"
"Male","1056"
"48",""
"Female","2893"
"Male","2284"
"49",""
"Female","673"
"Male","587"
"5",""
"Female","9692"
"Male","10228"
"50",""
"Female","7697"
"Male","8577"
"51",""
"Female","544"
"Male","780"
"52",""
"Female","1537"
"Male","1752"
"53",""
"Female","1020"
"Male","629"
"54",""
"Female","795"
"Male","588"
"55",""
"Female","6113"
"Male","7044"
"56",""
"Female","918"
"Male","1043"
"57",""
"Female","623"
"Male","803"
"58",""
"Female","1958"
"Male","1644"
"59",""
"Female","640"
"Male","671"
"6",""
"Female","8161"
"Male","8901"
"60",""
"Female","6334"
"Male","6983"
"61",""
"Female","579"
"Male","662"
"62",""
"Female","1339"
"Male","1232"
"63",""
"Female","761"
"Male","462"
"64",""
"Female","476"
"Male","449"
"65",""
"Female","4679"
"Male","4660"
"66",""
"Female","410"
"Male","496"
"67",""
"Female","380"
"Male","427"
"68",""
"Female","906"
"Male","1108"
"69",""
"Female","246"
"Male","342"
"7",""
"Female","8528"
"Male","8600"
"70",""
"Female","3352"
"Male","3551"
"71",""
"Female","252"
"Male","290"
"72",""
"Female","579"
"Male","667"
"73",""
"Female","205"
"Male","204"
"74",""
"Female","132"
"Male","131"
"75",""
"Female","1669"
"Male","1746"
"76",""
"Female","118"
"Male","128"
"77",""
"Female","83"
"Male","120"
"78",""
"Female","195"
"Male","223"
"79",""
"Female","66"
"Male","74"
"8",""
"Female","10820"
"Male","11119"
"80",""
"Female","770"
"Male","826"
"81",""
"Female","40"
"Male","60"
"82",""
"Female","47"
"Male","77"
"83",""
"Female","17"
"Male","28"
"84",""
"Female","21"
"Male","32"
"85",""
"Female","712"
"Male","684"
"9",""
"Female","6173"
"Male","6268"
